VTEC Events for: [SCC019] Charleston ,,,,
Event ID,Phenomena,Significance,Issued,Expired
98,Severe Thunderstorm,Warning,Wed Sep 24 1997 17:14:00 GMT-0400 (Eastern Daylight Time),Wed Sep 24 1997 18:00:00 GMT-0400 (Eastern Daylight Time)
100,Severe Thunderstorm,Warning,Wed Sep 24 1997 19:25:00 GMT-0400 (Eastern Daylight Time),Wed Sep 24 1997 20:00:00 GMT-0400 (Eastern Daylight Time)
2,Flash Flood,Warning,Fri Jan 23 1998 09:15:00 GMT-0500 (Eastern Standard Time),Fri Jan 23 1998 15:00:00 GMT-0500 (Eastern Standard Time)
11,Severe Thunderstorm,Warning,Sat Feb 28 1998 22:51:00 GMT-0500 (Eastern Standard Time),Sat Feb 28 1998 23:45:00 GMT-0500 (Eastern Standard Time)
20,Severe Thunderstorm,Warning,Fri Apr 03 1998 17:11:00 GMT-0500 (Eastern Standard Time),Fri Apr 03 1998 18:00:00 GMT-0500 (Eastern Standard Time)
24,Severe Thunderstorm,Warning,Thu Apr 09 1998 01:03:00 GMT-0400 (Eastern Daylight Time),Thu Apr 09 1998 01:50:00 GMT-0400 (Eastern Daylight Time)
48,Severe Thunderstorm,Warning,Sun May 03 1998 16:19:00 GMT-0400 (Eastern Daylight Time),Sun May 03 1998 17:20:00 GMT-0400 (Eastern Daylight Time)
57,Severe Thunderstorm,Warning,Mon May 04 1998 00:34:00 GMT-0400 (Eastern Daylight Time),Mon May 04 1998 01:35:00 GMT-0400 (Eastern Daylight Time)
72,Severe Thunderstorm,Warning,Mon May 04 1998 15:29:00 GMT-0400 (Eastern Daylight Time),Mon May 04 1998 16:15:00 GMT-0400 (Eastern Daylight Time)
10,Tornado,Warning,Mon May 04 1998 15:41:00 GMT-0400 (Eastern Daylight Time),Mon May 04 1998 16:15:00 GMT-0400 (Eastern Daylight Time)
74,Severe Thunderstorm,Warning,Mon May 04 1998 16:12:00 GMT-0400 (Eastern Daylight Time),Mon May 04 1998 17:15:00 GMT-0400 (Eastern Daylight Time)
12,Tornado,Warning,Thu May 07 1998 17:15:00 GMT-0400 (Eastern Daylight Time),Thu May 07 1998 18:00:00 GMT-0400 (Eastern Daylight Time)
18,Tornado,Warning,Sun May 10 1998 17:19:00 GMT-0400 (Eastern Daylight Time),Sun May 10 1998 18:20:00 GMT-0400 (Eastern Daylight Time)
20,Tornado,Warning,Sun May 10 1998 18:10:00 GMT-0400 (Eastern Daylight Time),Sun May 10 1998 18:50:00 GMT-0400 (Eastern Daylight Time)
95,Severe Thunderstorm,Warning,Sun May 17 1998 22:30:00 GMT-0400 (Eastern Daylight Time),Sun May 17 1998 23:00:00 GMT-0400 (Eastern Daylight Time)
98,Severe Thunderstorm,Warning,Tue Jun 02 1998 11:28:00 GMT-0400 (Eastern Daylight Time),Tue Jun 02 1998 12:35:00 GMT-0400 (Eastern Daylight Time)
110,Severe Thunderstorm,Warning,Wed Jun 10 1998 12:39:00 GMT-0400 (Eastern Daylight Time),Wed Jun 10 1998 13:25:00 GMT-0400 (Eastern Daylight Time)
23,Tornado,Warning,Wed Jun 10 1998 14:06:00 GMT-0400 (Eastern Daylight Time),Wed Jun 10 1998 14:25:00 GMT-0400 (Eastern Daylight Time)
112,Severe Thunderstorm,Warning,Wed Jun 10 1998 14:35:00 GMT-0400 (Eastern Daylight Time),Wed Jun 10 1998 15:20:00 GMT-0400 (Eastern Daylight Time)
119,Severe Thunderstorm,Warning,Sun Jun 14 1998 19:15:00 GMT-0400 (Eastern Daylight Time),Sun Jun 14 1998 19:55:00 GMT-0400 (Eastern Daylight Time)
133,Severe Thunderstorm,Warning,Fri Jun 19 1998 16:58:00 GMT-0400 (Eastern Daylight Time),Fri Jun 19 1998 18:00:00 GMT-0400 (Eastern Daylight Time)
141,Severe Thunderstorm,Warning,Mon Jun 29 1998 14:08:00 GMT-0400 (Eastern Daylight Time),Mon Jun 29 1998 14:55:00 GMT-0400 (Eastern Daylight Time)
168,Severe Thunderstorm,Warning,Fri Jul 31 1998 17:51:00 GMT-0400 (Eastern Daylight Time),Fri Jul 31 1998 18:15:00 GMT-0400 (Eastern Daylight Time)
171,Severe Thunderstorm,Warning,Mon Aug 31 1998 16:25:00 GMT-0400 (Eastern Daylight Time),Mon Aug 31 1998 17:30:00 GMT-0400 (Eastern Daylight Time)
176,Severe Thunderstorm,Warning,Thu Sep 03 1998 10:28:00 GMT-0400 (Eastern Daylight Time),Thu Sep 03 1998 11:15:00 GMT-0400 (Eastern Daylight Time)
4,Flash Flood,Warning,Mon Sep 21 1998 20:19:00 GMT-0400 (Eastern Daylight Time),Mon Sep 21 1998 22:30:00 GMT-0400 (Eastern Daylight Time)
5,Flash Flood,Warning,Mon Sep 21 1998 22:23:00 GMT-0400 (Eastern Daylight Time),Tue Sep 22 1998 00:55:00 GMT-0400 (Eastern Daylight Time)
16,Severe Thunderstorm,Warning,Thu Apr 08 1999 20:56:00 GMT-0400 (Eastern Daylight Time),Thu Apr 08 1999 22:00:00 GMT-0400 (Eastern Daylight Time)
3,Tornado,Warning,Thu Apr 08 1999 21:13:00 GMT-0400 (Eastern Daylight Time),Thu Apr 08 1999 21:45:00 GMT-0400 (Eastern Daylight Time)
14,Tornado,Warning,Thu Apr 15 1999 17:13:00 GMT-0400 (Eastern Daylight Time),Thu Apr 15 1999 17:45:00 GMT-0400 (Eastern Daylight Time)
31,Severe Thunderstorm,Warning,Tue Apr 27 1999 18:17:00 GMT-0400 (Eastern Daylight Time),Tue Apr 27 1999 19:05:00 GMT-0400 (Eastern Daylight Time)
1,Flash Flood,Warning,Wed May 12 1999 15:05:00 GMT-0400 (Eastern Daylight Time),Wed May 12 1999 16:20:00 GMT-0400 (Eastern Daylight Time)
3,Flash Flood,Warning,Wed Jun 16 1999 09:15:00 GMT-0400 (Eastern Daylight Time),Wed Jun 16 1999 11:15:00 GMT-0400 (Eastern Daylight Time)
63,Severe Thunderstorm,Warning,Thu Jul 22 1999 16:04:00 GMT-0400 (Eastern Daylight Time),Thu Jul 22 1999 16:35:00 GMT-0400 (Eastern Daylight Time)
73,Severe Thunderstorm,Warning,Sun Aug 08 1999 17:29:00 GMT-0400 (Eastern Daylight Time),Sun Aug 08 1999 18:00:00 GMT-0400 (Eastern Daylight Time)
75,Severe Thunderstorm,Warning,Mon Aug 09 1999 18:47:00 GMT-0400 (Eastern Daylight Time),Mon Aug 09 1999 19:35:00 GMT-0400 (Eastern Daylight Time)
83,Severe Thunderstorm,Warning,Mon Aug 16 1999 14:46:00 GMT-0400 (Eastern Daylight Time),Mon Aug 16 1999 15:20:00 GMT-0400 (Eastern Daylight Time)
89,Severe Thunderstorm,Warning,Thu Aug 19 1999 20:49:00 GMT-0400 (Eastern Daylight Time),Thu Aug 19 1999 21:50:00 GMT-0400 (Eastern Daylight Time)
